file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,54,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,3
style.css,55,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,15
style.css,56,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,20
style.css,57,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,58,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,59,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,3
style.css,60,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,15
style.css,61,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,20
style.css,62,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,63,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,64,css,429142ad,derricknguyen12,2025-01-10,09:45:59,-08:00,2025-01-10T09:45:59-08:00,0,5
style.css,65,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,16
style.css,66,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,19
style.css,67,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,13
style.css,68,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,69,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,70,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,4
style.css,71,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,40
style.css,72,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,13
style.css,73,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,18
style.css,74,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,24
style.css,75,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,26
style.css,76,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,40
style.css,77,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,78,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,79,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,6
style.css,80,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,7
style.css,81,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,21
style.css,82,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,14
style.css,83,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,18
style.css,84,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,15
style.css,85,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,59
style.css,86,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,87,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
